id	molecular_formula	name	inchi	inchi_key
C00128	C20H31N4O16P	CMP-N-acetylneuraminate		
C00129	C5H12O7P2	Isopentenyl diphosphate		
C00130	C10H13N4O8P	IMP		
C00131	C10H16N5O12P3	dATP		
C00132	CH4O	Methanol		
C00133	C3H7NO2	D-Alanine		
C00134	C4H12N2	Putrescine		
C00135	C6H9N3O2	L-Histidine		
C00136	C25H42N7O17P3S	Butanoyl-CoA		
C00137	C6H12O6	myo-Inositol		
C00138		Reduced ferredoxin		
C00139		Oxidized ferredoxin		
C00140	C8H15NO6	N-Acetyl-D-glucosamine		
C00141	C5H8O3	3-Methyl-2-oxobutanoic acid		
C00143	C20H23N7O6	"5,10-Methylenetetrahydrofolate"		
C00144	C10H14N5O8P	GMP		
C00145	HSR	Thiol		
C00146	C6H6O	Phenol		
C00147	C5H5N5	Adenine		
C00148	C5H9NO2	L-Proline		
C00149	C4H6O5	(S)-Malate		
C00150	Mo	Molybdenum		
C00151	C2H4NO2R	L-Amino acid		
C00152	C4H8N2O3	L-Asparagine		
C00153	C6H6N2O	Nicotinamide		
C00154	C37H66N7O17P3S	Palmitoyl-CoA		
C00155	C4H9NO2S	L-Homocysteine		
C00156	C7H6O3	4-Hydroxybenzoate		
C00157	C10H18NO8PR2	Phosphatidylcholine		
C00158	C6H8O7	Citrate		
C00159	C6H12O6	D-Mannose		
C00160	C2H4O3	Glycolate		
C00161	C2HO3R	2-Oxo acid		
C00162	CHO2R	Fatty acid		
C00163	C3H6O2	Propanoate		
C00164	C4H6O3	Acetoacetate		
C00165	C5H6O5R2	Diacylglycerol		
C00166	C9H8O3	Phenylpyruvate		
C00167	C15H22N2O18P2	UDP-glucuronate		
C00168	C3H4O4	Hydroxypyruvate		
C00169	CH4NO5P	Carbamoyl phosphate		
C00170	C11H15N5O3S	5'-Methylthioadenosine		
C00171	C5H10O7PR	5'-Phosphomononucleotide		
C00172	C10H19O16P3R2(C5H8O6PR)n	3'-Phosphooligonucleotide		
C00173	C3H4OSR2	Acyl-[acyl-carrier protein]		
C00174		Acid		
C00175	Co	Cobalt ion		
C00176	C12H9N4O2R	Flavin		
C00177	CN	Cyanide ion		
C00178	C5H6N2O2	Thymine		
C00179	C5H14N4	Agmatine		
C00180	C7H6O2	Benzoate		
C00181	C5H10O5	D-Xylose		
C00182	C24H42O21	Glycogen		
C00183	C5H11NO2	L-Valine		
C00184	C3H6O3	Glycerone		
C00185	C12H22O11	Cellobiose		
C00186	C3H6O3	(S)-Lactate		
C00187	C27H46O	Cholesterol		
C00188	C4H9NO3	L-Threonine		
C00189	C2H7NO	Ethanolamine		
C00190	C14H22N2O16P2	UDP-D-xylose		
C00191	C6H10O7	D-Glucuronate		
C00192	H3NO	Hydroxylamine		
C00193	C7H6O	Aromatic aldehyde		
C00194	C72H100CoN18O17P	Cobamide coenzyme		
C00195	C19H36NO3R	N-Acylsphingosine		
C00196	C7H6O4	"2,3-Dihydroxybenzoate"		
C00197	C3H7O7P	3-Phospho-D-glycerate		
C00198	C6H10O6	"D-Glucono-1,5-lactone"		
C00199	C5H11O8P	D-Ribulose 5-phosphate		
C00200	C13H11N2. CH3SO4	Phenazine methosulfate		
C00201	C5H12O13P3R	Nucleoside triphosphate		
C00202	C6H14FO3P	Isoflurophate		
C00203	C17H27N3O17P2	UDP-N-acetyl-D-galactosamine		
C00204	C6H10O6	2-Dehydro-3-deoxy-D-gluconate		
C00205		hn		
C00206	C10H15N5O9P2	dADP		
C00207	C3H6O	Acetone		
C00208	C12H22O11	Maltose		
C00209	C2H2O4	Oxalate		
C00210	C53H79CoN11O14P(R1)(R2)	Cobamide		
C00211	C4H6N2O3R2(C7H9N2O2R)n	Collagen		
C00212	C10H13N5O4	Adenosine		
C00213	C3H7NO2	Sarcosine		
C00214	C10H14N2O5	Thymidine		
C00215		Nucleotide		
C00216	C5H10O5	D-Arabinose		
C00217	C5H9NO4	D-Glutamate		
C00218	CH5N	Methylamine		
C00219	C20H32O2	Arachidonate		
C00220	C16H18N3S. Cl	Methylene blue		
C00221	C6H12O6	beta-D-Glucose		
C00222	C3H4O3	3-Oxopropanoate		
C00223	C30H42N7O18P3S	p-Coumaroyl-CoA		
C00224	C10H14N5O10PS	Adenylyl sulfate		
C00225	C12H14N2. 2Cl	Methyl viologen		
C00226	CH3OR	Primary alcohol		
C00227	C2H5O5P	Acetyl phosphate		
C00229	HSR	Acyl-carrier protein		
C00230	C7H6O4	"3,4-Dihydroxybenzoate"		
C00231	C5H11O8P	D-Xylulose 5-phosphate		
C00232	C4H6O3	Succinate semialdehyde		
C00233	C6H10O3	4-Methyl-2-oxopentanoate		
C00234	C20H23N7O7	10-Formyltetrahydrofolate		
C00235	C5H12O7P2	Dimethylallyl diphosphate		
C00236	C3H8O10P2	3-Phospho-D-glyceroyl phosphate		
C00237	CO	CO		
C00238	K	Potassium cation		
C00239	C9H14N3O7P	dCMP		
C00240	C15H25O16P2R3	rRNA		
C00241	CH2NOR	Amide		
C00242	C5H5N5O	Guanine		
C00243	C12H22O11	Lactose		
C00244	HNO3	Nitrate		
C00245	C2H7NO3S	Taurine		
C00246	C4H8O2	Butanoic acid		
C00247	C6H12O6	L-Sorbose		
C00248	C8H15NOS2	Lipoamide		
C00249	C16H32O2	Hexadecanoic acid		
C00250	C8H9NO3	Pyridoxal		
C00251	C10H10O6	Chorismate		
C00252	C12H22O11	Isomaltose		
C00253	C6H5NO2	Nicotinate		
C00254	C10H10O6	Prephenate		
C00255	C17H20N4O6	Riboflavin		
C00256	C3H6O3	(R)-Lactate		
C00257	C6H12O7	D-Gluconic acid		
C00258	C3H6O4	D-Glycerate		
C00259	C5H10O5	L-Arabinose		
C00261	C7H6O	Benzaldehyde		
C00262	C5H4N4O	Hypoxanthine		
C00263	C4H9NO3	L-Homoserine		
C00264	C24H37N7O18P3SR	3-Oxoacyl-CoA		
C00265	C4H10O2S2	Dithiothreitol		
C00266	C2H4O2	Glycolaldehyde		
C00267	C6H12O6	alpha-D-Glucose		
C00268	C9H13N5O3	Dihydrobiopterin		
C00269	C14H19N3O15P2R2	CDP-diacylglycerol		
C00270	C11H19NO9	N-Acetylneuraminate		
C00272	C9H15N5O3	Tetrahydrobiopterin		
C00273	C6H10O6	5-Dehydro-D-fructose		
C00275	C6H13O9P	D-Mannose 6-phosphate		
C00279	C4H9O7P	D-Erythrose 4-phosphate		
C00280	C19H26O2	Androstenedione		
C00282	H2	Hydrogen		
C00283	H2S	Hydrogen sulfide		
C00284	C10H16N2O8	EDTA		
C00286	C10H16N5O13P3	dGTP		
C00288	CHO3	HCO3-		
C00290		Fibrin		
C00291	Ni	Nickel		
C00292	C6H7N	Aniline		
C00294	C10H12N4O5	Inosine		
C00295	C5H4N2O4	Orotate		
C00296	C7H12O6	Quinate		
C00297	SR2	Sulfide		
C00298		Trypsin		
C00299	C9H12N2O6	Uridine		
C00300	C4H9N3O2	Creatine		
C00301	C15H23N5O14P2	ADP-ribose		
C00302	C5H9NO4	Glutamate		
C00303	C5H10N2O3	Glutamine		
C00304	C18H33N3O10(R1)(R2)	Kanamycin		
C00305	Mg	Magnesium cation		
C00306	C50H73N15O11	Bradykinin		
C00307	C14H26N4O11P2	CDP-choline		
C00308	C5H12N4O3	Canavanine		
C00309	C5H10O5	D-Ribulose		
C00310	C5H10O5	D-Xylulose		
C00311	C6H8O7	Isocitrate		
C00312	C5H10O5	L-Xylulose		
C00313	C23H36N7O19P3S	Oxalyl-CoA		
C00314	C8H11NO3	Pyridoxine		
C00315	C7H19N3	Spermidine		
C00317		Amylopectin		
C00318	C7H15NO3	L-Carnitine		
C00319	C18H37NO2	Sphingosine		
C00320	HO3S2	Thiosulfate		
C00322	C6H8O5	2-Oxoadipate		
C00323	C30H42N7O19P3S	Caffeoyl-CoA		
C00324	C6FeN6	Ferricyanide		
C00325	C16H25N5O15P2	GDP-L-fucose		
C00326		Glycoprotein		
C00327	C6H13N3O3	L-Citrulline		
C00328	C10H12N2O3	L-Kynurenine		
C00329	C6H13NO5	D-Glucosamine		
C00330	C10H13N5O4	Deoxyguanosine		
C00331	C11H9NO3	Indolepyruvate		
C00332	C25H40N7O18P3S	Acetoacetyl-CoA		
C00333	C6H10O7	D-Galacturonate		
C00334	C4H9NO2	4-Aminobutanoate		
C00337	C5H6N2O4	(S)-Dihydroorotate		
C00338		Lipopolysaccharide		
C00339	CH3OR	Long-chain alcohol		
C00340		Reduced rubredoxin		
C00341	C10H20O7P2	Geranyl diphosphate		
C00342	C10H14N4O4S2R4	Thioredoxin		
C00343	C10H12N4O4S2R4	Thioredoxin disulfide		
C00344	C8H13O10PR2	Phosphatidylglycerol		
C00345	C6H13O10P	6-Phospho-D-gluconate		
C00346	C2H8NO4P	Ethanolamine phosphate		
C00347	C3H5O2R	Long-chain carboxylate		
C00348	C55H91O4P	all-trans-Undecaprenyl phosphate		
C00349	C4H6O3	2-Methyl-3-oxopropanoate		
C00350	C7H12NO8PR2	Phosphatidylethanolamine		
C00351	C10H19O14P3R2(C5H8O5PR)n	5'-Phosphooligonucleotide		
C00352	C6H14NO8P	D-Glucosamine 6-phosphate		
C00353	C20H36O7P2	Geranylgeranyl diphosphate		
C00354	C6H14O12P2	"D-Fructose 1,6-bisphosphate"		
C00355	C9H11NO4	"3,4-Dihydroxy-L-phenylalanine"		
C00356	C27H44N7O20P3S	(S)-3-Hydroxy-3-methylglutaryl-CoA		
C00357	C8H16NO9P	N-Acetyl-D-glucosamine 6-phosphate		
C00360	C10H14N5O6P	dAMP		
C00361	C10H15N5O10P2	dGDP		
C00362	C10H14N5O7P	dGMP		
C00363	C10H16N2O11P2	dTDP		
C00364	C10H15N2O8P	dTMP		
C00365	C9H13N2O8P	dUMP		
C00366	C5H4N4O3	Urate		
C00367		Casein		
C00369	(C12H20O10)n	Starch		
C00370	C17H28O	Sterol		
C00371	C10H13N5O	Zeatin		
C00372	(C12H20O10)n	Dextran		
C00373		Elastin		
C00374	(C26H40N2O36S5)n	Heparin		
C00375	CH4NR	RCH2NH2		
C00376	C20H28O	Retinal		
C00377		Steroid		
C00378	C12H17N4OS	Thiamine		
C00379	C5H12O5	Xylitol		
C00380	C4H5N3O	Cytosine		
C00381	C20H36O(C5H8)n	Dolichol		
C00383	C3H4O4	Malonate		
C00384	C12H25N4O5R	Neomycin		
C00385	C5H4N4O2	Xanthine		
C00386	C9H14N4O3	Carnosine		
C00387	C10H13N5O5	Guanosine		
C00388	C5H9N3	Histamine		
C00389	C15H10O7	Quercetin		
C00390	C14H20O4(C5H8)n	Ubiquinol		
C00391		Calmodulin		
C00392	C6H14O6	Mannitol		
C00393		Fibrinogen		
C00394	C16H25N5O16P2	GDP-glucose		
C00395	C9H11N2O4SR	Penicillin		
C00396	C4H4N2	Pyrimidine		
C00397	C18H37N5O9	Tobramycin		
C00398	C10H12N2	Tryptamine		
C00399	C14H18O4(C5H8)n	Ubiquinone		
C00400	C10H20O	(-)-Menthol		
C00401	(C14H21NO11)n	Chondroitin		
C00402	C4H7NO4	D-Aspartate		
C00403	C4H6N2O3R2(C2H2NOR)n	Polypeptide		
C00404	H4P2O7(HPO3)n	Polyphosphate		
C00405	C2H4NO2R	D-Amino acid		
C00406	C31H44N7O19P3S	Feruloyl-CoA		
C00407	C6H13NO2	L-Isoleucine		
C00408	C6H11NO2	L-Pipecolate		
C00409	CH4S	Methanethiol		
C00410	C21H30O2	Progesterone		
C00411	C32H46N7O20P3S	Sinapoyl-CoA		
C00412	C39H70N7O17P3S	Stearoyl-CoA		
C00413	C21H39N7O12	Streptomycin		
C00414	C6H10O	Cyclohexanone		
C00415	C19H21N7O6	Dihydrofolate		
C00416	C5H7O8PR2	Phosphatidate		
C00417	C6H6O6	cis-Aconitate		
C00418	C6H12O4	(R)-Mevalonate		
C00419	C10H17O10PR2(C5H8O6PR)n	Polynucleotide		
C00420	C12H22O11(C6H10O5)n	Polysaccharide		
C00422	C6H5O6R3	Triacylglycerol		
C00423	C9H8O2	trans-Cinnamate		
C00424	C3H6O2	(S)-Lactaldehyde		
C00426	(C14H18NO11R3)n	Dermatan sulfate		
C00427	C20H32O5	Prostaglandin H2		
C00429	C4H6N2O2	"5,6-Dihydrouracil"		
C00430	C5H9NO3	5-Aminolevulinate		
C00431	C5H11NO2	5-Aminopentanoate		
C00433	C5H6O4	"2,5-Dioxopentanoate"		
C00434	C10H17O8PR2(C5H8O5PR)n. C10H17O7PR2(C5H8O6PR)n	Double-stranded DNA		
C00435		Oxidized rubredoxin		
C00436	C5H13N3O	N-Carbamoylputrescine		
C00437	C7H14N2O3	N-Acetylornithine		
C00438	C5H8N2O5	N-Carbamoyl-L-aspartate		
C00439	C6H10N2O4	N-Formimino-L-glutamate		
C00440	C20H25N7O6	5-Methyltetrahydrofolate		
C00441	C4H7NO3	L-Aspartate 4-semialdehyde		
C00444	C10H19O16P3R2(C5H8O6PR)n	5'-Phosphooligoribonucleotide		
C00445	C20H22N7O6	"5,10-Methenyltetrahydrofolate"		
C00446	C6H13O9P	alpha-D-Galactose 1-phosphate		
C00447	C7H16O13P2	"Sedoheptulose 1,7-bisphosphate"		
C00448	C15H28O7P2	"trans,trans-Farnesyl diphosphate"		
C00449	C11H20N2O6	"N6-(L-1,3-Dicarboxypropyl)-L-lysine"		
C00450	C6H9NO2	"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate"		
C00451	C6H8O7	"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate"		
C00454	C5H11O10P2R	NDP		
C00455	C11H15N2O8P	Nicotinamide D-ribonucleotide		
C00458	C9H16N3O13P3	dCTP		
C00459	C10H17N2O14P3	dTTP		
C00460	C9H15N2O14P3	dUTP		
C00461	(C8H13NO5)n	Chitin		
C00462	HX	Halide		
C00463	C8H7N	Indole		
C00464		Mannan		
C00466	C4H8O2	Acetoin		
C00468	C18H22O2	Estrone		
C00469	C2H6O	Ethanol		
C00470	C12H18O13(C6H8O6)n-2	Pectate		
C00472	C6H4O2	p-Benzoquinone		
C00473	C20H30O	Retinol		
C00474	C5H12O5	Ribitol		
C00475	C9H13N3O5	Cytidine		
C00476	C5H10O5	D-Lyxose		
C00477	C27H44O6	Ecdysone		
C00478	C6H10O5	Lichenin		
C00479	C3H6O	Propanal		
C00480	(C36H60O30)n	Pullulan		
C00481	C3H4N2	Pyrazole		
C00482	C11H12O5	Sinapate		
C00483	C8H11NO	Tyramine		
C00484	C7H6NOR	Arylamide		
C00486	C33H36N4O6	Bilirubin		
C00487	C7H16NO3	Carnitine		
C00488	CH3NO	Formamide		
C00489	C5H8O4	Glutarate		
C00490	C5H6O4	Itaconate		
C00491	C6H12N2O4S2	L-Cystine		
C00492	C18H32O16	Raffinose		
C00493	C7H10O5	Shikimate		
C00494	C19H37N5O7	Sisomicin		
C00495	C17H16O7	Sulochrin		
C00496		Ubiquitin		
C00497	C4H6O5	(R)-Malate		
C00498	C16H25N5O15P2	ADP-glucose		
C00499	C4H8N4O4	Allantoate		
C00500	C33H34N4O6	Biliverdin		
C00501	C15H25N3O16P2	CDP-glucose		
C00502	C5H10O6	D-Xylonate		
C00503	C4H10O4	Erythritol		
C00504	C19H19N7O6	Folate		
C00505		Gentamicin		
C00506	C3H7NO5S	L-Cysteate		
C00507	C6H12O5	L-Rhamnose		
C00508	C5H10O5	L-Ribulose		
C00509	C15H12O5	Naringenin		
C00510	C39H68N7O17P3S	Oleoyl-CoA		
C00511	C3H4O2	Acrylic acid		
C00512	C28H40N7O17P3S	Benzoyl-CoA		
C00513	C12H21N3O13P2	CDP-glycerol		
C00514	C6H12O7	D-Mannonate		
C00515	C5H12N2O2	D-Ornithine		
C00516		Fibronectin		
C00517	C16H32O	Hexadecanal		
C00518	(C14H21NO12)n	Hyaluronate		
C00519	C2H7NO2S	Hypotaurine		
C00521	C10H16	(S)-Limonene		
C00522	C6H12O4	(R)-Pantoate		
C00523	C19H30O2	Androsterone		
C00524	C42H44FeN8O8S2R4	Cytochrome c		
C00525	C11H12N2O2	D-Tryptophan		
C00526	C9H12N2O5	Deoxyuridine		
C00527	C26H42N7O19P3S	Glutaryl-CoA		
C00528	C36H64N8O17	Glycopeptide		
C00530	C6H6O2	Hydroquinone		
C00531	C26H40N7O19P3S	Itaconyl-CoA		
C00532	C5H12O5	L-Arabitol		
C00533	NO	Nitric oxide		
C00534	C8H12N2O2	Pyridoxamine		
C00535	C19H28O2	Testosterone		
C00536	H5O10P3	Triphosphate		
C00538	C2HO2R	2-Oxoaldehyde		
C00539	C7H6O2	Aromatic acid		
C00540	C30H42N7O17P3S	Cinnamoyl-CoA		
C00541	C62H88CoN13O14P	Cob(II)alamin		
C00542	C7H14N2O4S	Cystathionine		
C00543	C2H7N	Dimethylamine		
C00544	C8H8O4	Homogentisate		
C00545	C5H10O6	L-Arabinonate		
C00546	C3H4O2	Methylglyoxal		
C00547	C8H11NO3	L-Noradrenaline		
C00548	C8H8O2	Phenyl acetate		
C00549	C18H23N4O14P(C9H11N2O8P)n	RNA (poly(U))		
C00550	C24H49N2O6PR	Sphingomyelin		
C00551		beta-D-Glucan		
C00552	C4H6O6	meso-Tartaric acid		
C00553	C10H20O	(+)-Neomenthol		
C00555	C4H9NO	4-Aminobutyraldehyde		
C00556	C7H8O	Benzyl alcohol		
C00557	C5H8O	Cyclopentanone		
C00558	C6H10O7	D-Tagaturonate		
C00559	C10H13N5O3	Deoxyadenosine		
C00561	C8H7NO	Mandelonitrile		
C00562		Phosphoprotein		
C00563	C23H34N3O10P	Phosphoramidon		
C00565	C3H9N	Trimethylamine		
C00566	C27H42N7O22P3S	(3S)-Citryl-CoA		
C00568	C7H7NO2	4-Aminobenzoate		
C00569		Arabinogalactan		
C00570	C11H20N4O11P2	CDP-ethanolamine		
C00571	C6H13N	Cyclohexylamine		
C00573	(C28H46N2O29S3)n	Keratan sulfate		
C00574	C6H11O5R	beta-D-Fucoside		
C00575	C10H12N5O6P	"3',5'-Cyclic AMP"		
C00576	C5H12NO	Betaine aldehyde		
C00577	C3H6O3	D-Glyceraldehyde		
C00579	C8H17NOS2	Dihydrolipoamide		
C00580	C2H6S	Dimethyl sulfide		
C00581	C3H7N3O2	Guanidinoacetate		
C00582	C29H42N7O17P3S	Phenylacetyl-CoA		
C00583	C3H8O2	"Propane-1,2-diol"		
C00584	C20H32O5	Prostaglandin E2		
C00585	C10H10N2O3R2	Protein tyrosine		
C00586	C6H12O5	2-Deoxy-D-glucose		
C00587	C7H6O3	3-Hydroxybenzoate		
C00588	C5H15NO4P	Choline phosphate		
C00590	C10H12O3	Coniferyl alcohol		
C00591	C10H16NO9R	N-Acylneuraminate		
C00593	C2H4O4S	Sulfoacetaldehyde		
C00596	C5H6O3	"2-Hydroxy-2,4-pentadienoate"		
C00597	C3H7O7P	Glycerate 3-phosphate		
C00599	C27H44O	Cholest-4-en-3-one		
C00601	C8H8O	Phenylacetaldehyde		
C00602	C6H11O6R	beta-D-Galactoside		
C00603	C3H6N2O4	(S)-Ureidoglycolate		
C00604	C12H8N2	"1,10-Phenanthroline"		
C00605	C24H37N7O17P3SR	"2,3-Dehydroacyl-CoA"		
C00606	C3H7NO4S	3-Sulfino-L-alanine		
C00607	(C14H18NO11R3)n	Chondroitin sulfate		
C00608	C5H10O6PR	Deoxyribonucleotide		
C00609	C3H5OR	Long-chain aldehyde		
C00611	C14H25NO11	N-Acetyllactosamine		
C00612	C9H21N3O	N1-Acetylspermidine		
C00613	C7H13N5O2R2	Protein-L-arginine		
C00614	C6H8N2O4R2	Protein glutamate		
C00615	C7H8N4O2R2	Protein histidine		
C00616	C15H10O10S	Quercetin 3-sulfate		
C00617	C15H22N2O18P2	UDP-D-galacturonate		
C00618	C6H10O7	3-Dehydro-L-gulonate		
C00619	C19H28O	3-Oxo-Delta4-steroid		
C00620	C5H11O8P	alpha-D-Ribose 1-phosphate		
C00621	C20H38O7P2(C5H8)n	Dolichyl diphosphate		
C00623	C3H9O6P	sn-Glycerol 1-phosphate		
C00624	C7H11NO5	N-Acetyl-L-glutamate		
C00625	C7H12NO6R	N-Acyl-D-mannosamine		
C00627	C8H12NO6P	Pyridoxine phosphate		
C00628	C7H6O4	"2,5-Dihydroxybenzoate"		
C00630	C25H42N7O17P3S	2-Methylpropanoyl-CoA		
C00631	C3H7O7P	2-Phospho-D-glycerate		
C00632	C7H7NO3	3-Hydroxyanthranilate		
C00633	C7H6O2	4-Hydroxybenzaldehyde		
C00634	(C14H21NO14S)n	Chondroitin 4-sulfate		
C00635	(C14H21NO14S)n	Chondroitin 6-sulfate		
C00636	C6H13O9P	D-Mannose 1-phosphate		
C00637	C10H9NO	Indole-3-acetaldehyde		
C00638	C3H5O2R	Long-chain fatty acid		
C00639	C20H34O5	Prostaglandin F2alpha		
C00640	C24H39N7O18P3SR	(3S)-3-Hydroxyacyl-CoA		
C00641	C5H6O5R2	"1,2-Diacyl-sn-glycerol"		
C00642	C8H8O3	4-Hydroxyphenylacetate		
C00643	C11H12N2O3	5-Hydroxy-L-tryptophan		
C00644	C6H15O9P	D-Mannitol 1-phosphate		
C00645	C8H15NO6	N-Acetyl-D-mannosamine		
C00647	C8H13N2O5P	Pyridoxamine phosphate		
C00650	C8H7NO2	4-Hydroxymandelonitrile		
C00651	C6H9NO4	4-Methylene-L-glutamate		
C00652	C5H8O5	"D-Arabinono-1,4-lactone"		
C00653	(C5H11O7P)n	Poly(ribitol phosphate)		
C00655	C10H13N4O9P	Xanthosine 5'-phosphate		
C00658	C24H37N7O17P3SR	"trans-2,3-Dehydroacyl-CoA"		
C00659	C6H10O4	2-Aceto-2-hydroxybutanoate		
C00661	C3H7O6P	Glyceraldehyde 3-phosphate		
C00662		Reduced adrenal ferredoxin		
C00663	C6H13O9P	beta-D-Glucose 1-phosphate		
C00664	C20H24N8O6	5-Formiminotetrahydrofolate		
C00665	C6H14O12P2	"beta-D-Fructose 2,6-bisphosphate"		
C00666	C7H14N2O4	"LL-2,6-Diaminoheptanedioate"		
C00667		Oxidized adrenal ferredoxin		
C00668	C6H13O9P	alpha-D-Glucose 6-phosphate		
C00669	C8H14N2O5S	gamma-L-Glutamyl-L-cysteine		
C00670	C8H21NO6P	sn-Glycero-3-phosphocholine		
C00671	C6H10O3	(S)-3-Methyl-2-oxopentanoic acid		
C00672	C5H11O7P	2-Deoxy-D-ribose 1-phosphate		
